Kode;Date;RoA;Market Cap;RoE;Total Aset;Laba Bersih;Total Ekuitas;Sub Sektor
BDKR.JK;03/03/23;6.025;1.4122E+11;11.48;1.08433E+12;65329896059;5.69076E+11;Heavy Constructions & Civil
PTMP.JK;06/03/23;13.12;96000000000;21.68;1.26238E+11;16562689559;76396169553;Industrial Goods
CUAN.JK;08/03/23;20.695;3.718E+11;29;1.41046E+12;2.91892E+11;1.00652E+12;Oil, Gas, & Coal
SAGE.JK;08/03/23;1.75;1.61E+11;3.89;2.68877E+11;4696657212;1.20737E+11;Properties & Real Estate
TRON.JK;08/03/23;12.794;1.35E+11;22.45;52193983685;6677843911;29745407176;Software & IT Service
NSSS.JK;10/03/23;2.2;4.53166E+11;10.3;2.93265E+12;64599000000;6.27175E+11;Food & Beverage
GTRA.JK;30/03/23;2.09;56831250000;7.01;6.50517E+11;13599000000;1.93994E+11;Logistics & Deliveries
HAJJ.JK;05/04/23;6;96194000000;11.2;97242816189;5839090611;52134737598;Consumer Services
PIPA.JK;10/04/23;1.902;97125000000;3.277;89251027649;1697180577;51790679799;Industrial Goods
NCKL.JK;12/04/23;11.805;9.997E+12;27.84;2.99336E+13;3.53359E+12;1.26925E+13;Basic Materials
AWAN.JK;18/04/23;29.6;75000000000;34.8;24750829485;7324568393;21047610325;Software & IT Service
MBMA.JK;18/04/23;1.715;9.18225E+12;2.5;2.84097E+13;4.87122E+11;1.94849E+13;Basic Materials
MENN.JK;18/04/23;6.25;33555600000;6.79;12492147084;781041224;11502816259;Technology Hardware
DOOH.JK;08/05/23;6.76;1.5475E+11;7.72;78769198673;5325129333;68978359236;Media & Entertainment
JATI.JK;08/05/23;7.49;65250000000;22.27;2.71251E+11;20304945081;91176223983;Software & IT Service
TYRE.JK;08/05/23;5.355;96600000000;10.732;3.80848E+11;20393706480;1.90027E+11;Automobiles & Components
RAAM.JK;08/05/23;7.191;2.17433E+11;8.53;1.06904E+12;76879000000;9.01278E+11;Media & Entertainment
MPXL.JK;09/05/23;7.88;43200000000;11.88;62970402925;4961972702;41767446987;Logistics & Deliveries
SMIL.JK;12/05/23;8.642;1.75E+11;13.116;6.07334E+11;52482859496;4.00144E+11;Industrial Goods
MAXI.JK;12/06/23;7.1;1E+11;10.2;1.49787E+11;10647966555;1.04392E+11;Food & Beverage
KLAS.JK;12/06/23;4.178;78840000000;13.82;2.26336E+11;9456787726;68428275876;Logistics & Deliveries
VKTR.JK;19/06/23;6.607;8.75E+11;24.83;1.03291E+12;68241000000;2.74833E+11;Automobiles & Components
RELF.JK;22/06/23;2.7;1.08E+11;3.8;1.66038E+11;4487000000;1.18079E+11;Properties & Real Estate
