Kode,Date,RoA,Market Cap,RoE,Total Aset,Laba Bersih,Total Ekuitas,Sub Sektor
GTRA.JK,2023-03-30,2.09,56831250000,7.01,650517000000.0,13599000000.0,193994293866,Logistics & Deliveries
HAJJ.JK,2023-05-04,6.0,96194000000,11.2,97242816189.0,5839090611.0,52134737598,Consumer Services
PIPA.JK,2023-10-04,1.902,97125000000,3.277,89251027649.0,1697180577.0,51790679799,Industrial Goods
NCKL.JK,2023-12-04,11.805,9997000000000,27.84,29933600000000.0,3533588762489.0,12692488371009,Basic Materials
AWAN.JK,2023-04-18,29.6,75000000000,34.8,24750829485.0,7324568393.0,21047610325,Software & IT Service
MBMA.JK,2023-04-18,1.715,9182250000000,2.5,28409700000000.0,487122315000.0,19484892600000,Basic Materials
MENN.JK,2023-04-18,6.25,33555600000,6.79,12492147084.0,781041224.0,11502816259,Technology Hardware
DOOH.JK,2023-08-05,6.76,154750000000,7.72,78769198673.0,5325129333.0,68978359236,Media & Entertainment
JATI.JK,2023-08-05,7.49,65250000000,22.27,271251000000.0,20304945081.0,91176223983,Software & IT Service
TYRE.JK,2023-08-05,5.355,96600000000,10.732,380848000000.0,20393706480.0,190027082370,Automobiles & Components
RAAM.JK,2023-08-05,7.191,217432800000,8.53,1069040000000.0,76879000000.0,901277842907,Media & Entertainment
MPXL.JK,2023-09-05,7.88,43200000000,11.88,62970402925.0,4961972702.0,41767446987,Logistics & Deliveries
SMIL.JK,2023-12-05,8.642,175000000000,13.116,607334000000.0,52482859496.0,400143789997,Industrial Goods
MAXI.JK,2023-12-06,7.1,100000000000,10.2,149787000000.0,10647966555.0,104391828971,Food & Beverage
KLAS.JK,2023-12-06,4.178,78840000000,13.82,226336000000.0,9456787726.0,68428275876,Logistics & Deliveries
VKTR.JK,2023-06-19,6.607,875000000000,24.83,1032910000000.0,68241000000.0,274832863472,Automobiles & Components
RELF.JK,2023-06-22,2.7,108000000000,3.8,166038000000.0,4487000000.0,118078947368,Property & Real Estate
AMMN.JK,2023-07-07,17.18,10726315950000,30.935,97484400000000.0,16747815000000.0,54138726361726,Basic Materials
CRSN.JK,2023-10-07,17.76,75000000000,26.38,170091000000.0,30209836389.0,114517954469,Industrial Services
TGUK.JK,2023-10-07,16.6,117857300000,21.33,76163244322.0,12644646456.0,59281042925,Food & Beverage
GRPM.JK,2023-10-07,4.51,37080000000,7.32,50208565995.0,2264537620.0,30936306284,Food & Beverage
WIDI.JK,2023-10-07,6.05,40000000000,9.95,16705893953.0,1010755134.0,10158343055,Industrial Goods
INET.JK,2023-07-24,1.88,151500000000,2.11,72983848409.0,1373758013.0,65107014834,Telecommunication
MAHA.JK,2023-07-25,2.37,491588000000,3.81,1728660000000.0,41026288000.0,1076805459318,"Oil, Gas, & Coal"
RMKO.JK,2023-07-31,8.25,112500000000,16.37,231283000000.0,19082536577.0,116570168461,"Oil, Gas, & Coal"
CNMA.JK,2023-02-08,7.464,2250450000000,19.02,6759550000000.0,504535000000.0,2652655099895,Consumer Services
HBAT.JK,2023-07-08,35.15,26000028000,38.38,39572798000.0,13908895000.0,36239955706,Property & Real Estate
FOLK.JK,2023-07-08,-0.493,57000000000,-0.52,76693950132.0,-378421337.0,72773334038,Multi Sector Holdings
ERAL.JK,2023-08-08,13.31,404625000000,10.09,1382480000000.0,184009875971.0,1823685589405,Retailing
GRIA.JK,2023-08-08,0.477,207000000000,2.276,393602000000.0,1877122048.0,82474606678,Property & Real Estate
CYBR.JK,2023-08-08,0.54,100873400000,-2.433,170026000000.0,918217216.0,-37742412593,Software & IT Service
PPRI.JK,2023-08-08,4.06,38500000000,5.48,72734333968.0,2952763855.0,53882552099,Basic Materials
MSIE.JK,2023-10-08,73.18,36000000000,1.57,92611526650.0,67776417825.0,4316969288217,Property & Real Estate
HUMI.JK,2023-09-08,7.45,270700000000,11.567,3212290000000.0,239312235000.0,2068922235670,"Oil, Gas, & Coal"
MUTU.JK,2023-09-08,5.076,101828556000,10.28,160689000000.0,8156558559.0,79343954854,Industrial Services
LMAX.JK,2023-09-08,9.12,39000000000,23.18,28335811674.0,2584340262.0,11149008896,Automobiles & Components
RSCH.JK,2023-08-28,-0.65,60950000000,-0.67,96925615357.0,-625398563.0,93343069104,Healthcare Equipment & Providers
BABY.JK,2023-07-09,7.86,142044000000,15.28,760075000000.0,59723309221.0,390859353541,Retailing
AEGS.JK,2023-11-09,2.37,40000000000,5.65,34799905817.0,825880117.0,14617347204,Automobiles & Components
IOTF.JK,2023-06-10,0.96,110000000000,1.27,58698489543.0,560957670.0,44169895276,Technology Hardware
KOCI.JK,2023-06-10,5.497,54000000000,8.167,77795553564.0,4276600935.0,52364404739,Property & Real Estate
BREN.JK,2023-09-10,1.95,3131700000000,2.7,7230000000000.0,141000000000.0,5222222222222,Utilities
PTPS.JK,2023-09-10,7.874,89100000000,11.1,76025046765.0,5985873425.0,53926787613,Food & Beverage
STRK.JK,2023-10-10,27.62,118000000000,37.85,70588409490.0,19495325284.0,51506803921,Food & Beverage
KOKA.JK,2023-11-10,11.08,91562624000,15.33,107174000000.0,11871688903.0,77440893040,Heavy Constructions & Civil
LOPI.JK,2023-11-10,1.332,30000000000,1.9,36753905768.0,489690621.0,25773190579,Logistics & Deliveries
UDNG.JK,2023-10-31,-0.23,50000000000,-0.26,7205469247.0,-16531787.0,6358379615,Food & Beverage
MSTI.JK,2023-08-11,17.105,637966520000,32.45,2332330000000.0,398942031768.0,1229405336727,Technology Hardware
RGAS.JK,2023-08-11,13.309,40104000000,15.71,47149276099.0,6274932909.0,39942284589,"Oil, Gas, & Coal"
IKPM.JK,2023-08-11,4.277,55593450000,9.38,387553000000.0,16577500654.0,176732416354,Phramaceuticals & Healthcare
AYAM.JK,2023-11-30,4.76,80000000000,10.84,261840000000.0,12459000000.0,114935424354,Food & Beverage
SURI.JK,2023-07-12,5.45,215369600000,9.89,187796000000.0,10226219024.0,103399585683,Healthcare Equipment & Providers
GRPH.JK,2024-01-18,3.95,20600000000,-192.62,34505860921.0,1361504405.0,-706834392,Consumer Services
SMGA.JK,2024-01-30,3.016,183750000000,3.89,212285000000.0,6403420030.0,164612340103,Basic Materials
